Team,points-per-game,average-scoring-margin,field-goals-made-per-game,field-goals-attempted-per-game,offensive-efficiency,defensive-efficiency,effective-field-goal-pct,true-shooting-percentage,three-point-pct,two-point-pct,free-throw-pct,three-pointers-made-per-game,three-pointers-attempted-per-game,offensive-rebounds-per-game,defensive-rebounds-per-game,total-rebounds-per-game,offensive-rebounding-pct,defensive-rebounding-pct,total-rebounding-percentage,blocks-per-game,steals-per-game,assists-per-game,turnovers-per-game,assist--per--turnover-ratio,win-pct-all-games,win-pct-close-games,possessions-per-game,personal-fouls-per-game,opponent-points-per-game,opponent-average-scoring-margin,opponent-shooting-pct,opponent-effective-field-goal-pct,opponent-three-point-pct,opponent-two-point-pct,opponent-free-throw-pct,opponent-true-shooting-percentage,opponent-assists-per-game,opponent-turnovers-per-game,opponent-assist--per--turnover-ratio
Saint Peter's,64.6,0.8,21.8,55.4,0.958,0.947,44.6,98.8,33.2,42.3,71.8,5.8,17.4,10.3,21.3,35,32.4,72.7,51.4,4.2,6.9,10.6,12.6,0.837,0.563,0.6,67.4,19.3,63.8,-0.8,41.5,47.1,32.1,46.6,70.5,103.3,11,13.4,0.825
NJIT,65.7,-10.2,22.9,59.1,0.942,1.088,44.6,96.8,29.6,44.7,70.7,6.9,23.2,9.4,22,33.8,26.6,69.4,46.7,3.3,6.9,9.9,11.2,0.878,0.222,0.6,69.8,19.3,75.9,10.2,46.1,52.4,35,52.3,69.6,111.3,14.2,11.4,1.251
Morehead St,72.3,6,25.6,55.6,1.074,0.985,54.1,113.6,35.4,55,71.5,8.9,25.1,8.5,24.8,36.4,29.9,76.1,53.8,4.2,5.7,13.6,12,1.137,0.71,0,67.3,16.6,66.3,-6,41.4,46.4,31.8,45.8,75.8,101.6,10,10.1,0.984
E Illinois,65.3,-5.1,23.9,59.6,0.946,1.02,44.8,97.1,31.8,43.6,73.6,5.6,17.6,8.6,21.7,33.8,25.1,73.6,48.1,2.9,7.5,11.4,10.6,1.077,0.357,0.375,69.1,18.4,70.4,5.1,45.4,52,35.8,51,72,111.2,13.7,13.3,1.027
Sacramento St,64.2,-7.2,22.3,53,0.97,1.078,48.7,104.7,32.4,48.7,71.9,7.1,21.9,9.4,21.9,34.2,32.2,76.2,53.5,2.7,5.1,12,14.8,0.814,0.25,0.333,66.2,17.1,71.3,7.2,47.4,54.1,35,55.1,72.6,114.3,13.5,10.1,1.341
Maryland ES,62.1,-11,21.6,56.8,0.883,1.039,43,94.6,28.3,43.3,71.3,5.6,19.8,9.1,21.1,33.8,26.2,67.9,46.8,2.7,6.7,10.2,13.8,0.734,0.2,0.333,70.4,18.1,73.1,11,44.9,50.9,33,51.7,69.1,108.5,12.6,12.9,0.978
The Citadel,68.6,-3.6,24.8,54.8,1.007,1.061,50.6,107.8,32.9,51.3,70.7,6,18.2,7.3,22.6,33,24.9,74.7,50.3,2.6,5.4,10.9,12,0.905,0.276,0.333,68.1,13.9,72.2,3.6,46.5,53.5,35.2,54.1,73,111.6,15,10.8,1.391
Chicago St,65.2,-6.3,22.4,54.8,0.955,1.047,46.1,100.8,29.7,46.9,70.3,5.6,18.9,9.6,18.7,31.3,30.6,66.4,47.7,2.8,8.4,9.8,13.3,0.733,0.345,0.546,68.3,18,71.6,6.3,47.7,53.6,33.3,55.6,68.4,112.6,12.9,14.1,0.917
CS Fullerton,66.4,-4,22.6,53.7,0.967,1.025,48,104.4,32.2,47.7,71.7,6.3,19.4,7.4,22.7,32.6,23.1,72,47.4,3.1,6.6,8.3,12.2,0.683,0.4,0.6,68.7,18,70.4,4,43.7,49.9,31.9,51.2,71.8,107.2,12.6,12.1,1.039
Air Force,66.2,-6.2,23.5,51.7,1.018,1.113,53.8,112.1,36.1,53.6,68.2,8.8,24.4,6.4,19.5,28.1,22.8,70.4,46.2,3.9,6.5,14.5,12,1.212,0.29,0.375,65,17.5,72.4,6.2,47.5,54.2,36.6,53.7,74.7,116,12.5,11.2,1.109
Seton Hall,73.8,3.9,26.7,59,1.054,0.999,50.4,109,33.6,50.4,78.2,6.2,18.4,10.6,23.7,37.3,33.8,74,53.4,4.8,7.5,13,12.6,1.032,0.676,0.714,70,15.2,69.9,-3.9,42.2,49.2,33,49,76.2,105.2,14.2,12.2,1.169
Coppin St,57.9,-15,20.2,54.2,0.829,1.044,42.1,93.1,28.3,41.9,72.6,5.3,18.6,8,18.7,30.1,24.4,63.5,43.6,2.8,7.7,8.3,15.5,0.533,0.069,0.143,69.8,17.7,72.8,15,44.8,51.3,34.5,51,73.9,110.8,14.6,14.8,0.986
Tarleton St,72.6,2.4,26.5,58.9,1.044,1.01,50,107.6,33.3,50,76.3,6,17.9,9,21.3,33.1,28.6,68.9,48.6,3.6,8.3,13.6,11.3,1.199,0.688,0.667,69.6,17.5,70.2,-2.4,44.3,50.4,33.5,50.4,70.6,107.4,11.8,13.6,0.871
Wagner,62,-2.1,22.3,57,0.953,0.985,45.1,96.6,32.2,43.1,70,6.9,21.5,9.1,22.3,34.7,27.1,74.6,49.5,2.3,5.8,12.1,10,1.21,0.484,0.5,65,15.5,64.1,2.1,42.6,48.8,30.3,51,68.6,103.4,13.5,10.6,1.267
Miss Valley St,55.5,-22.3,19.8,52,0.817,1.145,42.5,92.2,29.2,41.9,65.8,4.6,15.8,8,18.6,29.4,25.4,65.6,45.1,2.3,6.6,8.7,15.9,0.551,0.032,0,67.8,17.7,77.7,22.3,48.8,55.6,37,55.6,71.4,117.6,14.6,11.4,1.277
